alpha,gamma,qm_energy,energy_rel
0,0,-1142.562283526,9.37084164546394
0,15,-1142.563247235,8.766105574607128
0,30,-1142.564377008,8.05716284914863
0,45,-1142.565652841,7.2565661592088935
0,60,-1142.567743927,5.944390874394718
0,75,-1142.565391067,7.4208317001181445
0,90,-1142.560245368,10.649804133888978
0,105,-1142.554130155,14.487155328404738
0,120,-1142.55430108,14.379898352566961
0,135,-1142.553641471,14.793808936527586
0,150,-1142.554287847,14.38820217909527
0,165,-1142.555859426,13.402022212366337
0,180,-1142.556805327,12.808460821885717
0,195,-1142.55697267,12.703451583199938
0,210,-1142.555366085,13.711598129958942
0,225,-1142.554483219,14.26560449074262
0,240,-1142.554630963,14.17289380115171
0,255,-1142.562324934,9.344857752924888
0,270,-1142.564741794,7.828256351160178
0,285,-1142.5664981,6.7261585293678
0,300,-1142.56639763,6.789204358601992
0,315,-1142.564733886,7.833218692216635
0,330,-1142.563599739,8.544906142121095
0,345,-1142.562322288,9.346518141729131
15,0,-1142.562680992,9.121428153353046
15,15,-1142.564109265,8.225173991332417
15,30,-1142.565801719,7.163143874232721
15,45,-1142.569344049,4.940299918359605
15,60,-1142.568833167,5.2608829711997505
15,75,-1142.56523318,7.519907213672673
15,90,-1142.560162983,10.701501462880046
15,105,-1142.555639265,13.540175221325157
15,120,-1142.554739491,14.104791504365052
15,135,-1142.554163353,14.466323284633528
15,150,-1142.55488374,14.014273958649769
15,165,-1142.556553193,12.966677176087337
15,180,-1142.557666509,12.268061366180024
15,195,-1142.557830995,12.164844920866727
15,210,-1142.556249381,13.15732194030523
15,225,-1142.555408511,13.684975433164906
15,240,-1142.555581647,13.576331034904737
15,255,-1142.55741098,12.428408113450171
15,270,-1142.56632197,6.836681689537693
15,285,-1142.567554731,6.063113067199406
15,300,-1142.566416209,6.777545868909512
15,315,-1142.564038274,8.269721482769995
15,330,-1142.563863516,8.379383700565242
15,345,-1142.56268621,9.11815381134752
30,0,-1142.56381661,8.408817637769202
30,15,-1142.566130589,6.956774989417955
30,30,-1142.567712896,5.963863106132902
30,45,-1142.570878319,3.977531684871325
30,60,-1142.569079381,5.10638147037148
30,75,-1142.566376118,6.802703332131966
30,90,-1142.563610287,8.538287177131899
30,105,-1142.557906063,12.117739075182755
30,120,-1142.556065574,13.272662487058744
30,135,-1142.556715442,12.864864468257892
30,150,-1142.558142745,11.969218990093424
30,165,-1142.559002029,11.430010546430058
30,180,-1142.560116525,10.730654276028744
30,195,-1142.560269646,10.634569470415027
30,210,-1142.558704719,11.61657524733187
30,225,-1142.55785669,12.148721076983719
30,240,-1142.55803184,12.038812875693624
30,255,-1142.559842992,10.90229869527983
30,270,-1142.568405186,5.52944490054747
30,285,-1142.568338457,5.571317948659911
30,300,-1142.56761061,6.028048491787547
30,315,-1142.566295629,6.853210904085436
30,330,-1142.563515826,8.597562304854321
30,345,-1142.563657143,8.508884615474168
45,0,-1142.566751105,6.567395614757435
45,15,-1142.568580479,5.419446965420593
45,30,-1142.569920066,4.578844066733227
45,45,-1142.572667841,2.8545905241225102
45,60,-1142.571231453,3.7559369216157013
45,75,-1142.568330495,5.576314175272053
45,90,-1142.56420606,8.164434257683453
45,105,-1142.560180388,10.690579668810061
45,120,-1142.558378319,11.82139418489986
