epsilon,zeta,qm_energy,energy_rel
15,15,-1142.558518289,11.088978230398336
15,30,-1142.562389768,8.659590314553437
15,45,-1142.566192525,6.273326072301263
15,60,-1142.566088213,6.338782791014198
15,75,-1142.560622151,9.768785890632387
15,90,-1142.561720303,9.079685627301751
15,105,-1142.561218021,9.394872102741255
15,120,-1142.558001816,11.413069686193943
15,135,-1142.561915133,8.95742804879728
15,150,-1142.56305478,8.242289299508542
15,165,-1142.564517907,7.324163938815899
15,180,-1142.564456782,7.36252042644215
15,195,-1142.564508421,7.330116489160745
15,210,-1142.562979363,8.289614145657682
15,225,-1142.560146263,10.067409893613506
15,240,-1142.561413006,9.272517260371634
15,255,-1142.561421194,9.267379216655796
15,270,-1142.565441998,6.744288519424504
15,285,-1142.566609879,6.01143268105752
15,300,-1142.567495851,5.455477277243293
15,315,-1142.561559589,9.180535108729812
15,330,-1142.558783004,10.922867185490002
15,345,-1142.555856742,12.759122926751521
15,360,-1142.55698234,12.05280005134179
30,15,-1142.560814392,9.648152932869383
30,30,-1142.563598965,7.90080831429291
30,45,-1142.567012978,5.758484430606526
30,60,-1142.5659143,6.447914763747517
30,75,-1142.56477114,7.165257952239787
30,90,-1142.563050539,8.24495056514136
30,105,-1142.561674189,9.108622577211747
30,120,-1142.562320438,8.703095513578392
30,135,-1142.56302791,8.259150466231054
30,150,-1142.565164581,6.918370183681652
30,165,-1142.567807062,5.260189573953755
30,180,-1142.567731828,5.307399586028879
30,195,-1142.563296661,8.0905067949586
30,210,-1142.563422121,8.011779515858994
30,225,-1142.562609663,8.521604222935546
30,240,-1142.561724929,9.076782770547954
30,255,-1142.563714415,7.828362400201099
30,270,-1142.566529067,6.062142938414697
30,285,-1142.568806322,4.633144930568923
30,300,-1142.568570295,4.781253997329566
30,315,-1142.562107557,8.836680256960259
30,330,-1142.55937828,10.549326137998005
30,345,-1142.559225858,10.64497231475099
30,360,-1142.558868256,10.869370788102815
45,15,-1142.563012328,8.268928311506718
45,30,-1142.566194509,6.272081094342252
45,45,-1142.565722355,6.568361978813318
45,60,-1142.563021183,8.263371719291147
45,75,-1142.5658196,6.507339866104367
45,90,-1142.566338088,6.1819839796337925
45,105,-1142.564511469,7.328203841695336
45,120,-1142.563602188,7.898785852772397
45,135,-1142.565594938,6.648317293022753
45,150,-1142.567592839,5.394616434353998
45,165,-1142.567714828,5.318067239073286
45,180,-1142.566285285,6.215118337371376
45,195,-1142.564756675,7.174334869955731
45,210,-1142.563677537,7.851503677069356
45,225,-1142.563334577,8.066714163788083
45,240,-1142.5644016,7.397147627998004
45,255,-1142.566823705,5.877254941663945
45,270,-1142.569639249,4.110475741776477
45,285,-1142.570336298,3.6730712207667815
45,300,-1142.567942456,5.175228620311363
45,315,-1142.563508598,7.957514420086074
45,330,-1142.563013733,8.268046661411384
45,345,-1142.561034506,9.510029416949699
45,360,-1142.560119791,10.084021311826985
60,15,-1142.564403357,7.396045094787734
60,30,-1142.562584813,8.537197821613947
60,45,-1142.561009197,9.525911042209364
60,60,-1142.56657788,6.031512341504459
60,75,-1142.567545651,5.424227329079388
60,90,-1142.56764074,5.36455812587746
60,105,-1142.567420314,5.502877424674847
60,120,-1142.565440691,6.745108673717465
60,135,-1142.566732096,5.934740413668383
60,150,-1142.568974364,4.527697063165089
60,165,-1142.567687022,5.335515754286228
60,180,-1142.56745009,5.484192716678667
60,195,-1142.566884585,5.839052193686304
60,210,-1142.566139421,6.3066493102478685
60,225,-1142.566256588,6.23312596318302
60,240,-1142.567494362,5.456411638250584
60,255,-1142.569293243,4.327597620813205
60,270,-1142.570596325,3.5099019380441616
60,285,-1142.569985282,3.8933369198905665
