zeta,alpha,qm_energy,energy_rel
15,0,-1142.544098264,20.165436578799888
15,15,-1142.546256555,18.811089551751824
15,30,-1142.551032362,15.814227676996822
15,45,-1142.557056901,12.033775233640112
15,60,-1142.561578605,9.196365278224926
15,75,-1142.563817343,7.791537034608029
15,90,-1142.56631511,6.224165762190862
15,105,-1142.567260325,5.631034842754887
15,120,-1142.56659189,6.050483821219853
15,135,-1142.565283235,6.87167661161645
15,150,-1142.566102979,6.357279873806084
15,165,-1142.567615191,5.408353233990768
15,180,-1142.567329731,5.587481953122244
15,195,-1142.56782238,5.278340271731145
15,210,-1142.568052719,5.1338004762259715
15,225,-1142.569574202,4.179056200358147
15,240,-1142.570061562,3.8732334140684443
15,255,-1142.568055954,5.131770484534413
15,270,-1142.565339386,6.836441353706799
15,285,-1142.562086152,8.877874967883438
15,300,-1142.556151529,12.601904311866656
15,315,-1142.552888129,14.649717182561282
15,330,-1142.547136251,18.25907239443534
15,345,-1142.543278383,20.679919285290175
30,0,-1142.548311414,17.521647035486673
30,15,-1142.551183608,15.719319450728381
30,30,-1142.556279133,12.521831653431072
30,45,-1142.561330268,9.352198980839532
30,60,-1142.564315788,7.478758311135451
30,75,-1142.568674938,4.743352453768186
30,90,-1142.56888456,4.611812762134608
30,105,-1142.569322557,4.336965702622232
30,120,-1142.568286116,4.987341758089071
30,135,-1142.567919995,5.21708598072203
30,150,-1142.567977923,5.180735639412153
30,165,-1142.570592231,3.540233840547594
30,180,-1142.569829679,4.018742083638958
30,195,-1142.570232097,3.766221166863467
30,210,-1142.57037423,3.6770314301326157
30,225,-1142.571900762,2.719118861300187
30,240,-1142.572350116,2.4371451821071424
30,255,-1142.570344414,3.6957412385087074
30,270,-1142.567360764,5.5680084663793314
30,285,-1142.563288075,8.123657468043001
30,300,-1142.557538278,11.73170683365804
30,315,-1142.554820197,13.437327123894448
30,330,-1142.549246221,16.935047229710204
30,345,-1142.546815925,18.460079842409872
45,0,-1142.552775812,14.720197110916041
45,15,-1142.556457477,12.409919188331695
45,30,-1142.561459855,9.270881971947302
45,45,-1142.564918318,7.100665313270639
45,60,-1142.570120869,3.8360177378673734
45,75,-1142.571440704,3.0078093968499404
45,90,-1142.572352055,2.4359284421825422
45,105,-1142.571011595,3.2770791562833814
45,120,-1142.571085063,3.2309773250824803
45,135,-1142.571534434,2.9489929783492506
45,150,-1142.572718943,2.2057029202427523
45,165,-1142.571373602,3.0499165057696382
45,180,-1142.571931393,2.6998976330757616
45,195,-1142.572134384,2.5725189537046322
45,210,-1142.572237531,2.5077932829502387
45,225,-1142.573748227,1.559817946706038
45,240,-1142.570926895,3.3302291686560754
45,255,-1142.57092898,3.3289208123876013
45,270,-1142.569216953,4.40323316309267
45,285,-1142.565220587,6.910988795330362
45,300,-1142.560150927,10.092246072344055
